ID ,Text,Sentiment_text,Sentiment_label
1,ខ្ញុំចូលចិត្តវា,Positive ,1.0
2,ផលិតផលនេះគុណភាពល្អ,Positive ,1.0
3,ប្រើប្រាស់មិនបានយូ ហើយថ្លៃទៀត,Negative,0.0
4,នៅតែពេញនិយមស្តាប់មិនធុញ,Positive ,1.0
5,ខ្ញុំអត់ចូលចិត្តត្រង់ កាមេរ៉ា មហាអន់ និយាយមែន,Negative,0.0
6,ខ្ញុំអត់ពេញចិត្តរូប១សន្លឹកដែលថតនោះ,Negative,0.0
7,ផលិតបានល្អខ្លាំងណាស់,Positive ,1.0
8,ខ្ញុំស្ដាប់10ដងហើយនៅតែពិរស់,Positive ,1.0
9,អ្នកបើកបរមានសុជីវធម៍ល្អ លើកក្រោយចង់ជិះជាមួយគាត់ទៀត,Positive ,1.0
10,សូមខំមិនរឿងអ្នកបើកបរម្សិលមិញពីសៀមរាបមកភ្នំពេញម៉ោង3កន្លះរសៀលអ្នកបើកបរលឿនហួសហេតុឈ្លើយឈប់ចូលបត់ជើង ម៉ាននាទីហូបបាយម៉ាននាទីក៏មិនប្រាប់បើកលឿនខ្លាំងដល់ថ្នាក់ខ្ញុំអង្គុយនៅខាងមុខចង់ក្អួតម៉ានដង,Negative,0.0
11,ល្អតែម្ដងគុណភាពរបស់គេ,Positive,1.0
12,រឿងហ្នឹងល្អមើល,Positive,1.0
13,ល្អមើលមែន Rate អោយ 9/10 តែអត់យល់ហេតុអីបានគេយំ? ខ្ញុំមើលអត់យំផង,Positive,1.0
14,Rate8.5/10 ល្អមើល តែអត់យល់មិចបានគេយំ តែបើសិនជាយករឿងញុមមកសម្ដែងប្រហែលយំខ្លាំងជាងនឹងទៅទៀត,Positive,1.0
15,មើលហើយៗ. អត់យំអីផង. តែល្អមើលគួរសម តួស្អាតៗ,Positive,1.0
16,រឿងនឹងវគ្គ1មើលស្តាយលុយណាស់ ចឹងអត់មើលទៀតទេ4/10,Negative,0.0
17,ពិរោះណាស់ សូមអគុណ ដល់លោក ដែលបានខំស្រាវជ្រាវរក្សាទុក,Positive ,1.0
18,ពិរោះណាស់ខ្ញុំចូលចិត្តស្តាប់បទពីដើម,Positive ,1.0
19,ស្តាប់នៅតែពិរោះមិនសាបសូន្យ,Positive ,1.0
20,មាននាក់ស្តាប់តើ,Positive ,1.0
21,ចូលចិត្ត,Positive ,1.0
22,គ្រាប់ពេជ្រនៅតែគ្រាប់ពេជ្រ,Positive ,1.0
23,ទាល់តែឧកញ៉ាធ្លាក់ខ្លួនបែបនេះ ទើបម្នាក់ៗពេញចិត្ត,Negative ,0.0
24,ខានលឺយូហើយអាយដល,Positive ,1.0
25,បងធំ មន្ត មកវិញហេីយ,Positive ,1.0
26,រង់ចាំយូរហេីយ​ អាយដល,Positive ,1.0
27,អានេះមើងាយគេសាហាវ,Negative ,0.0
28,ថាគេតាមដានវាតែដឹងពីគេគ្រប់រឿងម៉ង ម៉ាអាឈ្មោល,Negative ,0.0
29,អាប្អូននឹងវាថ្លើបធំហើយបានមកចង់លេងមួយបង,Negative ,0.0
30,ស្ដាយហា៎អត់បានទៅមើល,Negative ,0.0
31,បទអីនិងដឹងប្រាប់ផង,Negative ,0.0
32,បានត្រឹមមើលតាមឡាយ,Negative ,0.0
33,ញុមមើលឡាយខ្ចីលទៅរងាពេក,Positive ,1.0
34,ឈឺហើយអត់បានទៅមើលផ្ទាល់,Negative ,0.0
35,រវល់ខួបកំណើតកូនអត់បានទៅស្ដាយណាស់,Negative ,0.0
36,ស្តាយអត់ទៅមើលផ្ទាល់,Negative ,0.0
37,បទខ្មែរមិចក៏មិនច្រៀង,Negative ,0.0
38,អ្នកធ្វើគេខំណាស់ ណាស់តែពួកទើសទេ ទើសគ្រប់កន្លែងរកកន្លែងទើសគ្រប់ យ៉ាង,Negative ,0.0
39,អរគុណបងដែលបានបកស្រាយកុំអេាយមានមហាជនមួួយចំនួនយល់ថាលួចបទគេ ចំលងគេ,Positive ,1.0
40,ម៉េចក៏ចូលចិត្តចម្លងតែពី គេ,Negative ,0.0
41,បើចង់ផ្សព្វផ្សាយអោយម្ចាស់ដើមច្រៀងល្អជាង ព្រោះមុនហ្នឹងល្បីរួចទៅហើយ តែពេលដូរអ្នកចម្រៀងចឹង ល្បីថែមទៀតតែគេរិះគន់វិញ,Negative ,0.0
42,ថតបានស្អាតចម្រៀងពិរោះប៉ុន្តែយ៉ាប់ត្រង់មានឡាបូបូធ្វើឲ្យទាញតម្លៃបទចម្រៀងធ្លាក់ចុះ,Positive ,1.0
43,ស្ដាប់មិនចូលទេ,Negative ,0.0
44,តែអ្នកកូពីដូចឆ្កួតទាំងmcទាំងអ្នកច្រៀង,Negative ,0.0
45,មើលទឹកមុខដូចបង្ខំអោយនិយាយ,Negative ,0.0
46,បើចេះស្ទើធ្វើភ្លើល្អជាង(សុភាសិតខ្មែរ),Negative ,0.0
47,មិនបាច់ចេញទេ,Negative ,0.0
48,លុបណាវ៉ាតត្រាចេញទៅបង,Negative ,0.0
49,សួរថាចត់បាយអត់?,Negative ,0.0
50,បទសែកមន្តហ្នឹងអ្នកណាជាអ្នកនិពន្ធ? ហើយប្រកាសថាខ្លួនឯងជាម្ចាស់កម្មសិទ្ធថែមទៀតផង ប្រាកដអត់លោក?,Negative ,0.0
51,និពន្ធដូចខ្មោច,Negative ,0.0
52,អគុណបងដែលបានបកស្រាយ,Positive ,1.0
53,ងាប់នឹងគេបង្វែររឿងនឹងទៅខ្មែរ,Negative ,0.0
54,ពិតជាមានន័យណាស់បង,Positive ,1.0
55,​វា​ហាក់​ដូចជា​ហត់នឿយ​ពេក​ហើយ,Negative,0.0
56,គ្មាន​ការលើក​ទឹក​ចិត្ត​បាន​ត្រឹម​តែ​ ពាក្យ​ធ្វើ​ឲ្យ​បាក់​ទឹក​ចិត្ត,Negative,0.0
57,ខ្ញុំចង់និយាយថាខ្ញុំស្រឡាញ់បទមួយនេះ,Positive ,1.0
58,គ្រប់បទរបស់គាត់មានពាក្យចុងជួនល្អណាស់ហើយមានអត្ថន័យទៀត,Positive ,1.0
59,គ្រាន់ថាគេល្អជាងបងហ៎? ម៉េចបានទឹកភ្នែកដោយសារគេបែបនឹង,Negative,0.0
60,គេនោះល្អជាងបងឆ្ងាយណាស់,Negative,0.0
61,សង្សារទុំសុំបែកហើយស្តាប់បត់និង,Negative,0.0
62,អារម្មណ៍ពេលមានមនុស្សទី3,Negative,0.0
63,សុំកុំទុកខ្ញុំជាមនុស្សទីបី,Negative,0.0
64,មនុស្សសម័យនេះប្រែប្រួលអស់ហើយ ព្រមទាំងមនុស្សខ្ញុំស្រលាញ់,Negative,0.0
65,គ្រាំទ្រអោយពួកប្អូនរៀនហាត់បន្ថែម,Positive ,1.0
66,ហេតុអ្វីក៏អូនលួចអ្នកថ្មី,Negative,0.0
67,ខ្ញុំអ្នកកម្ពុជាក្រោមជំរាបសួរបងប្អូនខ្មែរយើងទាំងអស់គ្នាបាទ!សូមជួបតែសំណាងល្អទាំងអស់គ្នា,Positive ,1.0
68,ខ្មែរយើងត្រូវតែខ្លាំងកុំអោយអ្នកជិតខាងយើងគេមើលងាយយើង,Positive ,1.0
69,ក្មេងជំនាន់ក្រោយសម្ថភាពកាន់តែខ្លាំងហើយ,Positive ,1.0
70,បទស្អីចឹងស្មានតែឡូយណាស់មែន,Negative,0.0
71,ខ្ញុំចូរចិត្តពីនឹងណាស់,Positive ,1.0
72,ខ្ញុំស្ដាប់មិនចេះធុញទេ,Positive ,1.0
73,ស្ដាប់ហើយមានអារម្មណ៍ស្រស់ស្រាយ,Positive ,1.0
74,ស្ដាប់បទនឹងហើយមានអារម្ភល្អម៉ង,Positive ,1.0
75,ស្តាប់ហើយរំភើបចង់មានស្នេហ៍កាន់ដៃគ្នារហូតតទៅ,Positive ,1.0
76,ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive,1.0
77,ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative,0.0
78,បរិយាកាសនៅហាងនេះមិនល្អ។,Negative,0.0
79,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0
80,ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive,1.0
81,ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive,1.0
82,ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive,1.0
83,បទថ្មីនេះមិនទាក់ចិត្ត។,Negative,0.0
84,ការសម្តែងរបស់តារាសម្តែងគ្មានគុណភាព។,Negative,0.0
85,បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive,1.0
86,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0.0
87,ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive,1.0
88,ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive,1.0
89,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1.0
90,សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative,0.0
91,ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive,1.0
92,ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive,1.0
93,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0
94,បទថ្មីនេះមិនទាក់ចិត្ត។,Negative,0.0
95,ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive,1.0
96,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1.0
97,ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive,1.0
98,ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive,1.0
99,សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive,1.0
100,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1.0
101,ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative,0.0
102,ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative,0.0
103,ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive,1.0
104,ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive,1.0
105,ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive,1.0
106,ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative,0.0
107,សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive,1.0
108,ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative,0.0
109,ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive,1.0
110,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1.0
111,សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive,1.0
112,ភាពយន្តនេះធុញទ្រាន់។,Negative,0.0
113,ភាពយន្តនេះធុញទ្រាន់។,Negative,0.0
114,ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative,0.0
115,បរិយាកាសនៅហាងនេះមិនល្អ។,Negative,0.0
116,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1.0
117,ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive,1.0
118,គុណភាពទំនិញល្អណាស់។,Positive,1.0
119,ការចាក់សម្លេងមានបញ្ហា។,Negative,0.0
120,សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative,0.0
